,Название автомобиля,Двигатель/л,Мощность/л.с,Коробка передач,Привод,Цвет,"Пробег, км",Руль,Стоимость/руб.
165,"Продажа Hyundai Sonata, 2017 год в Барнауле",2.4,188,АКПП,передний,серый,49 489,ьлевый,2 199 000 
166,"Продажа Mitsubishi Pajero Mini, 2000 год в Улан-Удэ",0.7,ь52,АКПП,одзадний,асный,23 456,правый,260 000 
167,"Продажа Toyota Wish, 2010 год во Владивостоке",1.8,144,атор,передний,белый, по РФ,правый,1 370 000 
168,"Продажа Toyota Camry, 1995 год в Рубцовске",2.2,ь88,АКПП,ривод4WD,седан,тсерый,00 000,99 000 
169,"Продажа Dodge Nitro, 2007 год в Бийске",3.7,205,АКПП,ривод4WD,ерный,20 000,ьлевый,1 020 000 
170,"Продажа Honda HR-V, 1999 год в Новосибирске",1.6,105,атор,передний,5 дв.,тбелый,50 000,385 000 
171,"Продажа Ford Mondeo, 2011 год в Барнауле",1.6,120,ника,передний,седан,тсиний,39 000,800 000 
172,"Продажа Nissan Qashqai, 2010 год в Омске",2.0,141,ника,ривод4WD,ерный,93 000,ьлевый,900 000 
173,"Продажа Honda Fit Shuttle, 2011 год во Владивостоке",ибр,ь88,атор,передний,по РФ,правый,оление,890 000 
174,"Продажа Ford Kuga, 2014 год в Берёзовском",1.6,150,ника,передний,3 100,ьлевый,оление,1 170 000 
175,"Продажа Honda Civic, 1989 год в Улан-Удэ",1.5,ь91,ника,передний,седан,черный,50 000,150 000 
176,"Продажа Лада Гранта, 2016 год в Новороссийске",1.6,ь87,ника,передний,седан,тсерый,37 000,430 000 
177,"Продажа Honda Fit Shuttle, 2011 год во Владивостоке",ибр,ь88,атор,передний,по РФ,правый,оление,890 000 
178,"Продажа Ford Kuga, 2014 год в Берёзовском",1.6,150,ника,передний,3 100,ьлевый,оление,1 170 000 
179,"Продажа Honda Civic, 1989 год в Улан-Удэ",1.5,ь91,ника,передний,седан,черный,50 000,150 000 
180,"Продажа Лада Гранта, 2016 год в Новороссийске",1.6,ь87,ника,передний,седан,тсерый,37 000,430 000 
181,"Продажа Honda Mobilio, 2002 год в Уссурийске",1.5,ь90,атор,ривод4WD,серый,30 000,правый,305 000 
182,"Продажа Toyota Probox, 2018 год в Уссурийске",1.5,109,атор,передний,синий, по РФ,правый,1 195 000 
183,"Продажа Lifan Solano, 2013 год в Омске",1.6,106,атор,передний,истый,21 500,оление,525 000 
184,"Продажа Toyota Cresta, 2001 год в Усть-Илимске",2.5,180,ника,одзадний,серый,28 000,правый,300 000 
